seed,bs,epochs,emb_dim,num_feature_maps,ks,upsample,lr,dropout,max_vocab,additional_data,embs,activation,strip,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f,1_p,1_r,1_f,2_p,2_r,2_f,3_p,3_r,3_f,best_epoch,best_macro_f,pred_file,1_auc,2_auc,3_auc,macro_auc,cm_11,cm_12,cm_13,cm_21,cm_22,cm_23,cm_31,cm_32,cm_33
0,256,500,300,100,3,True,0.01,0.2,-1,,True,,,0.8382264829,0.8382264829,0.8382264829,0.6231578719,0.6878892307,0.6488583684,0.4803149606,0.5446428571,0.510460251,0.4408163265,0.6315789474,0.5192307692,0.9483423285,0.8874458874,0.916884085,499,0.6488583684,,,,,,,,,,,,,,
0,256,500,300,10,3,True,0.01,0.2,-1,,True,,,0.8358298382,0.8358298382,0.8358298382,0.6176005043,0.672229817,0.640177739,0.4761904762,0.5357142857,0.5042016807,0.4353448276,0.5906432749,0.5012406948,0.941266209,0.8903318903,0.9150908417,499,0.640177739,,,,,,,,,,,,,,
0,256,500,300,100,3,True,0.1,0.2,-1,skaschi,True,,,0.8466147394,0.8466147394,0.8466147394,0.6511014932,0.6256154907,0.6328496265,0.5802469136,0.4196428571,0.4870466321,0.4532019704,0.5380116959,0.4919786096,0.9198555957,0.9191919192,0.9195236377,496,0.6328496265,,,,,,,,,,,,,,
0,256,500,300,100,3,True,0.1,0.2,-1,combi,True,,,0.84182145,0.84182145,0.84182145,0.6560115538,0.6161663629,0.6239696606,0.6231884058,0.3839285714,0.4751381215,0.4253393665,0.5497076023,0.4795918367,0.9195068891,0.9148629149,0.9171790235,268,0.6414619335,,,,,,,,,,,,,,
0,256,500,300,10,3,True,0.1,0.2,-1,combi,True,,,0.8412222888,0.8412222888,0.8412222888,0.633464264,0.6128531556,0.6185725889,0.5421686747,0.4017857143,0.4615384615,0.4405940594,0.5204678363,0.4772117962,0.9176300578,0.9163059163,0.916967509,260,0.631473915,,,,,,,,,,,,,,
0,256,500,300,100,3,True,0.1,0.2,-1,sbil,True,,,0.8412222888,0.8412222888,0.8412222888,0.6322571743,0.6077267031,0.6157834286,0.5421686747,0.4017857143,0.4615384615,0.4387755102,0.5029239766,0.4686648501,0.9158273381,0.9184704185,0.9171469741,167,0.6300205224,,,,,,,,,,,,,,
0,256,500,300,100,3,False,0.1,0.2,-1,skaschi,True,,,0.8496105452,0.8496105452,0.8496105452,0.6570893324,0.5875151895,0.6154617654,0.6184210526,0.4196428571,0.5,0.4480519481,0.4035087719,0.4246153846,0.9047949965,0.9393939394,0.9217699115,161,0.6173155423,,,,,,,,,,,,,,
0,256,500,300,100,3,False,0.1,0.2,-1,sbil,True,,,0.8472139005,0.8472139005,0.8472139005,0.6390126615,0.5889439508,0.6096515376,0.5679012346,0.4107142857,0.4766839378,0.4390243902,0.4210526316,0.4298507463,0.9101123596,0.9350649351,0.9224199288,222,0.6250371094,,,,,,,,,,,,,,
0,256,500,300,10,3,False,0.1,0.2,-1,sbil,True,,,0.8466147394,0.8466147394,0.8466147394,0.640229806,0.5818681806,0.6063994918,0.5609756098,0.4107142857,0.4742268041,0.4563758389,0.3976608187,0.425,0.9033379694,0.9372294372,0.9199716714,470,0.6085176407,,,,,,,,,,,,,,
0,256,500,300,10,3,False,0.1,0.2,-1,sbil,True,,,0.8466147394,0.8466147394,0.8466147394,0.640229806,0.5818681806,0.6063994918,0.5609756098,0.4107142857,0.4742268041,0.4563758389,0.3976608187,0.425,0.9033379694,0.9372294372,0.9199716714,470,0.6085176407,,,,,,,,,,,,,,
